Date/Time,3m T,5m T,7m T,Surface PAR
7/1/19 0:03,21.19,20.85,17.71,5
7/1/19 0:18,21.24,20.89,17.93,6
7/1/19 0:33,21.29,20.91,18.41,9
7/1/19 0:48,21.38,20.91,18.56,8
7/1/19 1:03,21.35,20.92,18.81,8
7/1/19 1:18,21.32,20.91,18.91,6
7/1/19 1:33,21.25,20.85,18.64,8
7/1/19 1:48,21.06,20.9,18.43,6
7/1/19 2:03,21.08,20.81,17.93,5
7/1/19 2:18,21.03,20.88,17.91,6
7/1/19 2:33,21,20.46,17.97,8
7/1/19 2:48,20.99,20.87,18.16,8
7/1/19 3:03,21,20.88,17.86,8
7/1/19 3:18,21.02,20.84,18.07,6
7/1/19 3:33,20.98,20.84,18.07,8
7/1/19 3:48,20.96,20.84,18.32,6
7/1/19 4:03,20.88,20.79,18.34,6
7/1/19 4:18,20.87,20.82,18.26,8
7/1/19 4:33,20.85,20.74,18.15,8
7/1/19 4:48,20.87,20.77,18.08,12
7/1/19 5:03,20.85,20.61,17.19,16
7/1/19 5:18,20.83,20.59,16.88,24
7/1/19 5:33,20.83,20.16,16.56,32
7/1/19 5:48,20.82,20.03,16.3,48
7/1/19 6:03,20.77,19.98,16.49,66
7/1/19 6:18,20.79,20.09,16.92,97
7/1/19 6:33,20.82,19.91,17.38,112
7/1/19 6:48,20.81,19.74,18.32,158
7/1/19 7:03,20.8,19.74,17.61,168
7/1/19 7:18,20.67,19.78,17.91,247
7/1/19 7:33,20.79,19.83,17.01,195
7/1/19 7:48,20.71,19.77,17.86,228
7/1/19 8:03,20.72,19.64,17.75,317
7/1/19 8:18,20.82,19.64,17.67,465
7/1/19 8:33,20.81,19.36,17.92,595
7/1/19 8:48,20.88,19.36,18,400
7/1/19 9:03,20.84,19.09,18.05,284
7/1/19 9:18,20.86,19.29,18.13,741
7/1/19 9:33,20.82,19.5,17.98,670
7/1/19 9:48,20.84,19.59,17.79,614
7/1/19 10:03,20.78,19.84,17.66,811
7/1/19 10:18,20.86,19.56,17.43,995
7/1/19 10:33,20.95,20.46,17.8,732
7/1/19 10:48,20.91,20.57,17.72,964
7/1/19 11:03,20.89,20.25,17.58,634
7/1/19 11:18,20.92,20.46,17.55,795
7/1/19 11:33,20.9,19.77,17.67,690
7/1/19 11:48,20.9,20.09,17.84,826
7/1/19 12:03,20.93,19.51,17.75,919
7/1/19 12:18,20.86,20.33,17.86,1060
7/1/19 12:33,20.88,20.44,17.83,1061
7/1/19 12:48,20.96,20.43,17.28,636
7/1/19 13:03,21,20.16,17.39,1944
7/1/19 13:18,20.99,20.26,17.56,1321
7/1/19 13:33,21.02,20.4,17.8,1332
7/1/19 13:48,21.04,20.4,17.71,807
7/1/19 14:03,21.13,20.48,17.82,1030
7/1/19 14:18,21.14,20.87,17.84,256
7/1/19 14:33,21.12,20.92,17.63,712
7/1/19 14:48,21.13,20.83,17.66,657
7/1/19 15:03,21.15,20.84,17.61,507
7/1/19 15:18,21.19,21.01,17.54,447
7/1/19 15:33,21.28,19.94,17.5,769
7/1/19 15:48,21.23,20.39,17.5,178
7/1/19 16:03,21.24,19.83,17.3,199
7/1/19 16:18,21.21,20.24,17.5,111
7/1/19 16:33,21.22,20.11,17.53,141
7/1/19 16:48,21.6,20.09,17.08,156
7/1/19 17:03,21.53,19.85,17.27,142
7/1/19 17:18,21.48,19.42,17.35,90
7/1/19 17:33,21.42,19.39,17.38,79
7/1/19 17:48,21.53,19.51,17.38,81
7/1/19 18:03,21.55,19.35,17.59,70
7/1/19 18:18,21.51,19.39,17.65,108
7/1/19 18:33,21.4,19.53,17.95,43
7/1/19 18:48,21.37,19.07,18.06,67
7/1/19 19:03,21.4,19.17,18.17,32
7/1/19 19:18,21.43,19.78,18.24,25
7/1/19 19:33,21.53,19.71,17.91,16
7/1/19 19:48,21.59,20.01,17.57,10
7/1/19 20:03,21.5,20.39,18.21,9
7/1/19 20:18,21.43,20.69,17.86,5
7/1/19 20:33,21.58,20.84,18.21,1
7/1/19 20:48,21.56,20.92,18.34,6
7/1/19 21:03,21.56,20.82,18.75,5
7/1/19 21:18,21.64,20.92,18.58,5
7/1/19 21:33,21.5,20.63,18.76,5
7/1/19 21:48,21.5,20.57,18.4,5
7/1/19 22:03,21.55,20.72,18.33,3
7/1/19 22:18,21.57,20.77,18.38,6
7/1/19 22:33,21.51,20.78,18.51,5
7/1/19 22:48,21.53,20.78,18.57,3
7/1/19 23:03,21.53,20.79,18.35,6
7/1/19 23:18,21.45,20.74,18.45,6
7/1/19 23:33,21.55,20.66,18.37,6
7/1/19 23:48,21.55,20.67,18.54,5
7/2/19 0:03,21.57,20.39,18.52,5
7/2/19 0:18,21.54,20.48,18.48,5
7/2/19 0:33,21.59,20.55,18.51,5
7/2/19 0:48,21.61,20.69,18.6,5
7/2/19 1:03,21.61,20.73,18.63,5
7/2/19 1:18,21.62,20.76,18.67,5
7/2/19 1:33,21.67,20.76,18.73,6
7/2/19 1:48,21.64,20.78,18.76,5
7/2/19 2:03,21.66,20.81,18.77,5
7/2/19 2:18,21.66,20.83,18.73,6
7/2/19 2:33,21.66,20.89,18.69,5
7/2/19 2:48,21.51,20.9,18.66,5
7/2/19 3:03,21.49,20.89,18.61,6
7/2/19 3:18,21.49,20.89,18.58,5
7/2/19 3:33,21.49,20.91,18.62,5
7/2/19 3:48,21.5,20.9,18.63,6
